keep,question,proposed_answer,source_url,title,section,method,score,id
yes,What is OAuth?,OAuth is an open standard for access delegation commonly used as a way to grant websites or applications limited access to user information without exposing passwords. It allows third-party services to exchange information securely and efficiently.,https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module4/M4_3_upload_data/M4_3_1_authentication.html#authentication,Authentication and Checking Uploads¶,Authentication¶,faq_block,0.85,45c598481b2e1954
yes,What are Tokens?,"In general, tokens are pieces of data that are used to authorize access to an API. In the NOMAD API, tokens are also used to authenticate users. There are two main types of tokens: 1. Access Tokens : Short-lived tokens used for API requests. 2. App Tokens : Tokens with a user-defined expiration time, used for longer sessions.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module4/M4_3_upload_data/M4_3_1_authentication.html#authentication,Authentication and Checking Uploads¶,Authentication¶,faq_block,0.85,c618e075c4b05d44
yes,How to obtain ppp tokens in NOMAD?,"If the short-term expiration of the default access token (obtained from the /auth/token endpoint) does not suit your needs, you can request an app token with a user-defined expiration from the /auth/app_token endpoint: response = requests . get ( 'https://nomad-lab.eu/prod/v1/api/v1/auth/app_token?expires_in=86400' , headers = { 'Authorization' : f 'Bearer { token } ' }) app_token = response . json ()[ 'access_token' ]",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module4/M4_3_upload_data/M4_3_1_authentication.html#authentication,Authentication and Checking Uploads¶,Authentication¶,faq_block,0.8,01b6610474cbd583
yes,What are NOMAD's API endpoints?,"In general, REST API has documentation explaining its endpoints. A list of API endpoints and their documentation can be found in NOMAD's API dashboard . The endpoints in NOMAD often imply their functionality. For instance, a POST request to the endpoint /datasets/{dataset_id}/action/doi implies assigning a DOI to a dataset by providing its dataset_id .",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module4/M4_2_retrieve_data/M4_2_1_example_api_explained.html#the-request,Your First API Call,The Request¶,faq_block,0.85,2b6a5c141a71a252
no,How do they look in Python?,"The above example was just to showcase different components of a basic API call. We used the curl client, because it was easier to explain different components of an API request. However, our focus in this tutorial will be on using the Python's requests library as the API client. This approach combines simplicity with powerful capabilities, making it ideal for both beginners and experienced users. In particular its built-in JSON decoding capabilities, simplify working with JSON data. The same POST request can be written using the Python requests library. For this, open a programming environment of your choice (e.g., VSCode, Jupyter Notebook, NORTH, etc.) and paste the following piece of code and run:",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module4/M4_2_retrieve_data/M4_2_1_example_api_explained.html#how-do-they-look-in-python,Your First API Call,How do they look in Python?¶,heading_q,0.8,4ac966cd17a6b298
no,"ntries), it is practical to retrieve data iteratively to avoid crashes. The next_page_after_value in the pagination of response can be used as a cursor to iteratively paginate through the results. How?","The page_after_value is an attribute that defines the position after which the page begins, and is used to navigate through the total list of results. When requesting the first page, no value should be provided for page_after_value parameter, therefore, we will set it to None . Each response will contain a value next_page_after_value (see the response on top of this page), which can be used to obtain the next page (by setting the page_after_value in our next request to this value). By treating next_page_after_value as a cursor —indicating where the next page of results starts— and applying some Python programming techniques, you can retrieve large datasets piece by piece, avoiding system overload. The following example shows retrieving 120 entries in batches of 5 each.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module4/M4_2_retrieve_data/M4_2_2_leveraging_pagination.html#in-batches-using-a-cursor,Retrieving Multiple Entries,"In Batches, Using a Cursor¶",inline_q,0.6,31207c5e67861130
no,How do you retrieve dos data for 10 entries?,What would you do if you want to do the same procedure for 10 entries programmatically?,https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module4/M4_2_retrieve_data/M4_2_3_api_helpers/M4_2_3_2_helper_entry_page.html#step-5-constructing-the-required-and-executing-the-query,Using the API helper on Entry Pages¶,Step 5: Constructing the required and executing the query¶,faq_block,0.65,a64078278429d6e9
yes,What are the main tools in a typical programming setup?,"The purpose of the programming environment defines the specific tools to be used in the respective setup. These generally include: IDE (Integrated Development Environment) : Tools like Visual Studio Code (vscode) or PyCharm to edit and manage code projects efficiently. You don't necessarily need one for this tutorial, we highly recommended to have one, like vscode. Git : Git or another version control system for managing and tracking code changes. Installing Git on Windows also installs Git Bash by default, providing a Unix-like command-line interface suitable for this tutorial. Terminal : A command-line interface to execute text commands. For our purposes, the default terminal on Linux and macOS works well. Windows users may prefer WSL (Windows Subsystem for Linux) or Git Bash to run bash commands.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module4/M4_1_getting_started/M4_1_1_preparing_local.html#setting-up-a-local-programming-environment,Local Installation,Setting Up a Local Programming Environment¶,faq_block,0.9,e26ca9d23e0906a3
yes,What is pip?,"pip is a package manager specifically for Python, making it easy to install and manage Python libraries like requests . Other package managers include: conda : An alternative to pip, suitable for Python and other data science packages. Homebrew : Primarily for macOS and Linux, simplifies installing software not included in the OS. apt : The default package manager for Debian-based Linux systems, mainly used for system-level packages.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module4/M4_1_getting_started/M4_1_1_preparing_local.html#installing-the-requests-library-using-jupyter-notebook,Local Installation,Installing the requests Library Using Jupyter Notebook¶,faq_block,0.85,eeb928a75de9516c
yes,What is a programming environment?,"A programming environment refers to the setup and tools required for developing and running software. It includes both the hardware and software components that provide a workspace for coding, testing, and executing programs.",https://fairmat-nfdi.github.io/nomad-onboarding-workshop/Module4/M4_1_getting_started/M4_1_0_getting_started.html#setting-up-your-programming-environment,Programming Environments,Setting up your programming environment¶,faq_block,0.85,fcb604c17d551893
