id,question,proposed_answer,source_url,repo,file,method,score
docs-d97bc6ba5e9a,What you'll do:,"- 🌐 [**Explore NOMAD entries**](https://fairmat-nfdi.github.io/FAIRmat-tutorial-16/T16_2/T16_2_explore_data_records.html) and gain insights from the rich metadata structured in NOMAD's data model. - 📥 [**Upload raw data files**](https://fairmat-nfdi.github.io/FAIRmat-tutorial-16/T16_3/T16_3_upload_raw_data_files.html) and inspect the extracted data structured in NOMAD’s data model. - 🗂️ [**Create a dataset**](https://fairmat-nfdi.github.io/FAIRmat-tutorial-16/T16_5/T16_5_create_a_dataset.html) and simulate publishing it with a DOI. - 📖 [**Document your research**](https://fairmat-nfdi.github.io/FAIRmat-tutorial-16/T16_6/T16_6_document_your_research.html) using NOMAD’s built-in ELN templates. - 🛠️ [**Create custom ELN templates**](https://fairmat-nfdi.github.io/FAIRmat-tutorial-16/T16_7/T16_7_create_custom_eln_templates.html) (demo). - 🛠️ [**Use the tabular parser**](https://fairmat-nfdi.github.io/FAIRmat-tutorial-16/T16_8/T16_8_write_a_custom_parser.html) for tabular data, such as `.csv` or `.xls` files (demo).",https://github.com/FAIRmat-NFDI/FAIRmat-tutorial-16,FAIRmat-tutorial-16,README.md,heading_qa,1.0
docs-c27203fa2f6a,📈 Run an auto XRD analysis?,"Once you have trained the model, you can use it to analyze your XRD patterns automatically. you can test this running the `auto-xrd-analysis.ipynb` notebook that will make use of a NOMAD XRD entry. 🎉",https://github.com/FAIRmat-NFDI/nomad-auto-xrd,nomad-auto-xrd,README.md,heading_qa,1.0
docs-9f324f57d5d1,Where to go from here,If you are interested in uploading your data to NOMAD and have general questions you will find support at [FAIRmat](https://www.fairmat-nfdi.eu/fairmat/). For questions related to this example or catalysis data in general contact [Julia Schumann](mailto:jschumann@physik.hu-berlin.de) or another member of the [FAIRmat team](https://www.fairmat-nfdi.eu/fairmat/about-fairmat/contact-fairmat).,https://github.com/FAIRmat-NFDI/nomad-catalysis-plugin,nomad-catalysis-plugin,README.md,heading_qa,1.0
docs-36a2b599a6e7,Why a federated data infrastructure?,There are several benefits for using multiple NOMAD installations: - **Sovereignty**: Data is stored and managed locally. This is important for data privacy and security. - **Resource**: Local resources can be used to manage and analyse data. This is important for large data sets. - **Customization**: Local installations can be customized (plugins). This is important to support local workflows and special file formats.,https://github.com/FAIRmat-NFDI/nomad-docs,nomad-docs,oasis.md,heading_qa,1.0
docs-9dd210203b2e,What is a NOMAD Oasis?,"The software that runs NOMAD is Open-Source and can be used independently of the NOMAD *central installation* at [http://nomad-lab.eu](http://nomad-lab.eu){:target=""\_blank""}. We call any NOMAD installation that is not the *central* one a NOMAD Oasis.",https://github.com/FAIRmat-NFDI/nomad-docs,nomad-docs,oasis.md,heading_qa,1.0
docs-3e6e6608ebc5,How to use HDF5 to handle large quantities,"The NOMAD schemas and processed data system are designed to describe and manage intricate hierarchies of connected data. This is ideal for metadata and lots of small data quantities, but does not work for large quantities. Quantities are atomic and are always managed as a whole; there is currently no functionality to stream or splice large quantities. Consequently, tools that produce or work with such data cannot scale. To address the issue, the option to use auxiliary storage systems optimized for large data is implemented. In the following we discuss two quantity types to enable the writing of large datasets to HDF5: `HDF5Reference` and `HDF5Dataset`. These are defined in `nomad.datamodel.hdf5`. Another class called `HDF5Normalizer` defined in `nomad.datamodel.metainfo.basesections` can be inherited [and used directly in a yaml schema](basics.md#hdf5normalizer).",https://github.com/FAIRmat-NFDI/nomad-docs,nomad-docs,hdf5.md,heading_qa,1.0
docs-297981ea297e,How to work with units,"Units are a very important part of any scientific work. Units are also a common source of problems when multiple people are working with the same data. Sometimes this has far-reaching consequences as demonstrated by the [Mars Climate Orbiter incident](https://en.wikipedia.org/wiki/Mars_Climate_Orbiter#Cause_of_failure){:target=""_blank""}. This document explains the possibilities and best practices when working with units within the NOMAD infrastructure.",https://github.com/FAIRmat-NFDI/nomad-docs,nomad-docs,units.md,heading_qa,1.0
docs-65d347439fd3,How to Use the NOMAD-material-processing Plugin,"The **NOMAD-material-processing plugin** provides standardized schemas for common methods, processes, and instruments. These schemas are generalized to ensure they are not tied to any specific lab or setup, promoting interoperability across the materials science community. Users can inherit from these schemas, further specializing them to fit their specific needs, all while maintaining a consistent structure that benefits broader community use. For more details, see [levels of schemas in NOMAD](../explanation/levelsofschema.md). To use this plugin, you must have it installed on your NOMAD Oasis instance (please refer to the [installation guide](install.md) for instructions). Alternatively, you can explore the plugin’s functionality and make use of it on our centrally hosted [Example Oasis](https://nomad-lab.eu/prod/v1/oasis/gui/search/entries). This guide will walk you through the different ways to use the NOMAD-material-processing plugin:",https://github.com/FAIRmat-NFDI/nomad-material-processing,nomad-material-processing,use_this_plugin.md,heading_qa,1.0
docs-9a8cecb86487,What You Will Find in This Documentation,"This documentation builds upon the general [NOMAD documentation](https://nomad-lab.eu/prod/v1/staging/docs/explanation/data.html). Here, you will find comprehensive guides on: - **Using the Plugin**: Step-by-step instructions on how to integrate and use the NOMAD Material Processing Plugin in your NOMAD Oasis. - **Data Structures and Supported Methods**: Detailed descriptions of the available schemas, sections, and supported material processing techniques. - **Contributing**: Learn how you can contribute to the ongoing development of this plugin.",https://github.com/FAIRmat-NFDI/nomad-material-processing,nomad-material-processing,index.md,heading_qa,1.0
docs-bc26f8dca1c2,How to Use the NOMAD-measurement Plugin,"The **NOMAD-measurement plugin** provides standardized schemas for common characterization methods and instruments. These schemas are generalized to ensure they are not tied to any specific lab or setup, promoting interoperability across the materials science community. Users can inherit from these schemas, further specializing them to fit their specific needs, all while maintaining a consistent structure that benefits broader community use. For more details, see [levels of schemas in NOMAD](../explanation/levelsofschema.md). To use this plugin, you must have it installed on your NOMAD Oasis instance (please refer to the [installation guide](install.md) for instructions). Alternatively, you can explore the plugin’s functionality and make use of it on our centrally hosted [Example Oasis](https://nomad-lab.eu/prod/v1/oasis/gui/search/entries). This guide will walk you through the different ways to use the NOMAD-measurement plugin:",https://github.com/FAIRmat-NFDI/nomad-measurements,nomad-measurements,use_this_plugin.md,heading_qa,1.0
