id,question,proposed_answer,source_url,repo,file,method,score
docs-d97bc6ba5e9a,What you'll do:,"- 🌐 [**Explore NOMAD entries**](https://fairmat-nfdi.github.io/FAIRmat-tutorial-16/T16_2/T16_2_explore_data_records.html) and gain insights from the rich metadata structured in NOMAD's data model. - 📥 [**Upload raw data files**](https://fairmat-nfdi.github.io/FAIRmat-tutorial-16/T16_3/T16_3_upload_raw_data_files.html) and inspect the extracted data structured in NOMAD’s data model. - 🗂️ [**Create a dataset**](https://fairmat-nfdi.github.io/FAIRmat-tutorial-16/T16_5/T16_5_create_a_dataset.html) and simulate publishing it with a DOI. - 📖 [**Document your research**](https://fairmat-nfdi.github.io/FAIRmat-tutorial-16/T16_6/T16_6_document_your_research.html) using NOMAD’s built-in ELN templates. - 🛠️ [**Create custom ELN templates**](https://fairmat-nfdi.github.io/FAIRmat-tutorial-16/T16_7/T16_7_create_custom_eln_templates.html) (demo). - 🛠️ [**Use the tabular parser**](https://fairmat-nfdi.github.io/FAIRmat-tutorial-16/T16_8/T16_8_write_a_custom_parser.html) for tabular data, such as `.csv` or `.xls` files (demo).",https://github.com/FAIRmat-NFDI/FAIRmat-tutorial-16,FAIRmat-tutorial-16,README.md,heading_qa,1.0
docs-d97bc6ba5e9a,What you'll do:,"- 🌐 [**Explore NOMAD entries**](T16_2/T16_2_explore_data_records.md) and gain insights from the rich metadata structured in NOMAD's data model. - 📥 [**Upload raw data files**](T16_3/T16_3_upload_raw_data_files.md) and inspect the extracted data structured in NOMAD’s data model. - 🗂️ [**Create a dataset**](T16_5/T16_5_create_a_dataset.md) and simulate publishing it with a DOI. - 📖 [**Document your research**](T16_6/T16_6_document_your_research.md) using NOMAD’s built-in ELN templates. - 🛠️ [**Create custom ELN templates**](T16_7/T16_7_create_custom_eln_templates.md) (demo). - 🛠️ [**Use the tabular parser**](T16_8/T16_8_write_a_custom_parser.md) for tabular data, such as `.csv` or `.xls` files (demo).",https://github.com/FAIRmat-NFDI/FAIRmat-tutorial-16,FAIRmat-tutorial-16,index.md,heading_qa,1.0
docs-c27203fa2f6a,📈 Run an auto XRD analysis?,"Once you have trained the model, you can use it to analyze your XRD patterns automatically. you can test this running the `auto-xrd-analysis.ipynb` notebook that will make use of a NOMAD XRD entry. 🎉",https://github.com/FAIRmat-NFDI/nomad-auto-xrd,nomad-auto-xrd,README.md,heading_qa,1.0
docs-f7db5c850772,How to Search Catalysis Data,"![Header](ScreenshotCatalysisAppHead-1.png) This plugin provides a dedicated heterogeneous catalysis app which makes it possible to get a quick overview of related entries, visualize results and search for specific information. The catalysis app of the central NOMAD service can be accessed [here](https://nomad-lab.eu/prod/v1/gui/search/heterogeneouscatalyst). The app has 3 main components: the filter menu on the left, the dashboard in the center, and the entry list below the dashboard.",https://github.com/FAIRmat-NFDI/nomad-catalysis-plugin,nomad-catalysis-plugin,search_catalysis_data.md,heading_qa,1.0
docs-9f324f57d5d1,Where to go from here,If you are interested in uploading your data to NOMAD and have general questions you will find support at [FAIRmat](https://www.fairmat-nfdi.eu/fairmat/). For questions related to this example or catalysis data in general contact [Julia Schumann](mailto:jschumann@physik.hu-berlin.de) or another member of the [FAIRmat team](https://www.fairmat-nfdi.eu/fairmat/about-fairmat/contact-fairmat).,https://github.com/FAIRmat-NFDI/nomad-catalysis-plugin,nomad-catalysis-plugin,README.md,heading_qa,1.0
docs-9f324f57d5d1,Where to go from here,If you are interested in uploading your data to NOMAD and have general questions you will find support at [FAIRmat](https://www.fairmat-nfdi.eu/fairmat/). For questions related to this example or catalysis data in general contact [Julia Schumann](mailto:jschumann@physik.hu-berlin.de) or another member of the [FAIRmat team](https://www.fairmat-nfdi.eu/fairmat/about-fairmat/contact-fairmat).,https://github.com/FAIRmat-NFDI/nomad-catalysis-plugin,nomad-catalysis-plugin,README.md,heading_qa,1.0
docs-36a2b599a6e7,Why a federated data infrastructure?,There are several benefits for using multiple NOMAD installations: - **Sovereignty**: Data is stored and managed locally. This is important for data privacy and security. - **Resource**: Local resources can be used to manage and analyse data. This is important for large data sets. - **Customization**: Local installations can be customized (plugins). This is important to support local workflows and special file formats.,https://github.com/FAIRmat-NFDI/nomad-docs,nomad-docs,oasis.md,heading_qa,1.0
docs-9dd210203b2e,What is a NOMAD Oasis?,"The software that runs NOMAD is Open-Source and can be used independently of the NOMAD *central installation* at [http://nomad-lab.eu](http://nomad-lab.eu){:target=""\_blank""}. We call any NOMAD installation that is not the *central* one a NOMAD Oasis.",https://github.com/FAIRmat-NFDI/nomad-docs,nomad-docs,oasis.md,heading_qa,1.0
docs-3e6e6608ebc5,How to use HDF5 to handle large quantities,"The NOMAD schemas and processed data system are designed to describe and manage intricate hierarchies of connected data. This is ideal for metadata and lots of small data quantities, but does not work for large quantities. Quantities are atomic and are always managed as a whole; there is currently no functionality to stream or splice large quantities. Consequently, tools that produce or work with such data cannot scale. To address the issue, the option to use auxiliary storage systems optimized for large data is implemented. In the following we discuss two quantity types to enable the writing of large datasets to HDF5: `HDF5Reference` and `HDF5Dataset`. These are defined in `nomad.datamodel.hdf5`. Another class called `HDF5Normalizer` defined in `nomad.datamodel.metainfo.basesections` can be inherited [and used directly in a yaml schema](basics.md#hdf5normalizer).",https://github.com/FAIRmat-NFDI/nomad-docs,nomad-docs,hdf5.md,heading_qa,1.0
docs-c11a4e3f3049,How to write data to archive with MappingParser,"`MappingParser` is a generic parser class implemented in `nomad.parsing.file_parser/mapping_parser.py` to handle the conversion to and from a data object and a python dictionary. We refer to an instance of the this class as 'mapping parser' throughout this section. In the following, the abstract properties and methods of the mapping parser are explained. The various implementations of the mapping parser are also defined and `Mapper` which is required to convert a mapping parser into another mapping parser is explained as well.",https://github.com/FAIRmat-NFDI/nomad-docs,nomad-docs,mapping_parser.md,heading_qa,1.0
